ID,sa4_code_2011,sa4_name_2011,SA_name,etot_000,e_pop_rt_pr100,une_tot_000,une_rt_pr100,lbr_frc_tot_000,nilf_000,civ_pop_15ov,count,avg,negative,neutral,positive,neg_ratio,neu_ratio,pos_ratio
,206,Melbourne,Melbourne,2438.726,61.241,179.385,4.504,2618.109,1364.058,3982.167,104080,0.112067701,13928,51315,38837,0.133820138,0.493034204,0.373145657
9580,214,Mornington Peninsula,Mornington Peninsula,158.56,62.011,10.121,6,168.682,87.015,255.697,367,0.087344682,68,150,149,0.185286104,0.408719346,0.40599455
9839,201,Ballarat,Ballarat,79.271,57.432,2.983,3.627,82.255,55.771,138.026,2178,0.106157844,276,1162,740,0.126721763,0.533516988,0.339761249
10098,202,Bendigo,Bendigo,74.017,55.19,2.803,3.649,76.82,57.294,134.114,2202,0.133254148,287,961,954,0.130336058,0.436421435,0.433242507
10357,203,Geelong,Geelong,155.945,60.553,3.867,2.42,159.812,97.721,257.533,6014,0.119933208,807,2886,2321,0.134186897,0.479880279,0.385932823
10616,204,Hume,Hume,94.567,64.566,2.189,2.263,96.756,49.709,146.465,1478,0.129958552,188,711,579,0.127198917,0.48105548,0.391745602
10875,205,Latrobe - Gippsland,Latrobe - Gippsland,122.325,51.462,5.481,4.288,127.806,109.895,237.701,1789,0.13270715,223,876,690,0.124650643,0.489659027,0.38569033
11134,215,Victoria - North West,North West,70.869,56.873,2.254,3.083,73.123,51.486,124.609,1295,0.120091944,171,626,498,0.132046332,0.483397683,0.384555985
11393,216,Shepparton,Shepparton,61.73,56.674,7.478,10.805,69.208,39.713,108.921,678,0.119988142,83,351,244,0.122418879,0.517699115,0.359882006
11652,217,Warrnambool and South West,Warrnambool and South West,69.096,66.769,1.033,1.472,70.129,33.357,103.486,1830,0.114570653,208,977,645,0.113661202,0.533879781,0.352459016
